"Longitude","Latitude"
-159.590801,21.910255
-159.496216,22.211347
-159.329597,22.052176
-158.174341,21.581095
-158.047143,21.485803
-157.860734,21.307531
-157.848735,21.324466
-157.847778,21.315278
-157.826242,21.280954
-157.815612,21.296515
-157.813828,21.308078
-157.764312,21.294539
-157.743444,21.384363
-157.738546,21.400553
-157.716524,21.392549
-157.712338,21.310368
-157.707134,21.28834
-157.706854,21.378465
-157.247635,21.188775
-156.692254,20.92859
-156.692185,20.946605
-156.688669,20.915014
-156.682209,20.925219
-156.676315,20.973097
-156.674417,20.983854
-156.66841,20.99396
-156.66495,21.003009
-156.651488,21.003583
-156.647626,20.970215
-156.510467,20.879736
-156.462967,20.885721
-156.457962,20.761162
-156.457283,20.74947
-156.452483,20.886794
-156.451484,20.73044
-156.446682,20.719058
-156.445384,20.700138
-156.444318,20.679478
-156.444007,20.710332
-156.443867,20.688903
-156.438455,20.749384
-156.432583,20.888688
-156.404949,20.908664
-156.389553,20.915038
-155.989763,19.6404
-155.960687,19.605301
-155.883082,19.924835
-155.879559,19.933376
-155.824209,20.005604
-122.435211,37.768921
-121.771583,36.848556
-119.733115,34.456835
-118.435193,33.957648
-118.43333,33.93333
-118.369449,34.034751
-118.325387,33.348843
-118.12881,33.806102
-118.115585,33.788166
-118.006727,33.759183
-117.909285,33.670671
-117.886964,33.879566
-117.88236,33.65577
-117.877222,33.595278
-117.719326,34.094687
-117.6203,33.4204
-117.35694,33.88333
-117.31667,33.96667
-117.26,32.935
-117.255528,32.92061
-117.174807,32.759507
-117.16883,32.706363
-116.783333,31.983333
-115.530267,32.978657
-114.635475,32.699051
-114.615134,32.727809
-114.582086,32.61298
-114.575187,35.158643
-114.385335,32.628204
-114.318479,34.473362
-114.295985,34.492717
-114.288073,34.480488
-114.286617,34.502703
-113.878098,32.723202
-112.627514,33.662302
-112.536856,33.442067
-112.535102,33.43054
-112.511577,33.477468
-112.50447,33.506438
-112.44559,33.620883
-112.443748,33.64068
-112.4294,33.65876
-112.4283,33.431767
-112.415986,33.470678
-112.406715,33.582218
-112.404989,33.661668
-112.397125,33.669861
-112.395027,33.46892
-112.390729,33.643753
-112.382156,33.477826
-112.378335,33.650196
-112.371665,33.689697
-112.371233,33.639221
-112.363715,33.45374
-112.36067,33.50728
-112.34225,33.679914
-112.335216,33.517034
-112.333892,33.479812
-112.328048,33.664248
-112.3024962,33.5869181
-112.299007,33.48639
-112.29746,33.642583
-112.290942,33.596689
-112.277139,33.690543
-112.274398,33.666692
-112.2564944,33.5064206
-112.255922,33.623727
-112.219842,33.638663
-112.214178,33.605202
-112.212514,33.71538
-112.202018,33.665561
-112.201236,33.68403
-112.200069,33.582372
-112.197395,33.409483
-112.197024,33.562221
-112.1882,33.57742
-112.180553,33.662913
-112.178802,33.350149
-112.178723,33.597745
-112.165776,33.644052
-112.159274,33.633536
-112.133825,33.524255
-112.132998,33.657528
-112.13041,33.511423
-112.129888,33.8083
-112.11837,33.572648
-112.115983,33.808856
-112.106215,33.859522
-112.098144,33.557008
-112.090287,33.297056
-112.07995,33.651794
-112.076003,33.461411
-112.072683,33.508242
-112.066299,33.637799
-112.063516,33.580847
-112.060747,33.47579
-112.056553,33.365385
-112.054591,33.310884
-112.049827,33.6655
-112.043441,33.548595
-112.0404901,33.6212187
-112.0365,33.067786
-112.02714,33.303324
-112.025641,33.527144
-112.02,33.54722
-112.016772,33.385425
-112.01611,33.620977
-112.014719,33.591677
-112.011468,33.314929
-112.009895,33.048273
-112.0054868,33.3224274
-111.998395,33.577523
-111.998053,33.591719
-111.990751,33.320693
-111.986716,33.759955
-111.980844,33.515757
-111.977488,33.5494211
-111.972167,33.684125
-111.971363,33.374351
-111.964387,33.534304
-111.963369,33.677832
-111.949368,33.447934
